CAGR | GRASIM | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | GRASIM | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | GRASIM | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | HAL | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HAL | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HAL | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HAVELLS | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HDFCBANK | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HDFCBANK | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HDFCBANK | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | HDFCBANK | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HDFCBANK | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HDFCBANK | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HDFCLIFE | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HDFCLIFE | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | HDFCLIFE | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | HINDALCO | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HINDALCO | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | HINDALCO | Mar 2021 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | ICICIBANK | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | ICICIBANK | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ICICIBANK | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ICICIBANK | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | ICICIGI | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ICICIGI | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ICICIPRULI | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | ICICIPRULI | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | ICICIPRULI | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | INDIGO | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | INDIGO | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | INDIGO | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
